Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.33842267373554,1019,130,40,7,0.6888721217638358,0.6697454061534988,0.6459269988164614,4512.0334177580235,1040.0170193359695
"[4.50, 4.80)",4.65,4.6428128792977486,870,81,26,2,0.6818988604623751,0.6664952410223188,0.7112206668526256,4603.848684532547,991.6076318864923
"[4.80, 5.10)",4.949999999999999,4.945037726138241,634,43,22,3,0.6897212710465237,0.6698662341182591,0.7113738978457094,3589.6549153187343,725.9105216416672
"[5.10, 5.40)",5.25,5.243588167212358,436,21,7,1,0.6973512224544944,0.6800654393227807,0.5824905648400088,2855.6778372763824,544.6037610529095
"[5.40, 5.70)",5.550000000000001,5.524945431016069,241,8,10,0,0.693372456176715,0.6796560344241873,0.7589023780563462,1499.6383277619784,271.43043247871253
"[5.70, 6.00)",5.85,5.848072631352774,188,3,4,0,0.6851893923496755,0.66373082091674,0.6676282920981794,1407.174238186129,240.62188124031937
"[6.00, 6.30)",6.15,6.127785401546175,114,3,2,0,0.7123435398376232,0.6874455364436967,0.796393692857754,879.4005453692948,143.51033656423456
"[6.30, 6.60)",6.449999999999999,6.428276289275757,77,1,4,0,0.6875985231516912,0.6848202659156939,0.6908914863095109,528.0333788024841,82.14229679010501
"[6.60, 6.90)",6.75,6.737758677294485,39,0,0,0,0.7207669131022997,0.6715755720449712,0.0,364.57360019963784,54.10903204773589
"[6.90, 7.50)",7.2,7.1668619921000225,30,0,0,0,0.6917138696072506,0.6530036263911005,0.0,310.8306327370293,43.370534144463164
"[7.50, 8.70)",8.1,7.809601109938333,15,0,0,0,0.7203151962227171,0.6897524501250274,0.0,162.62882868967654,20.824217063112037
