Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.356421698998543,3,0,8,2,0,0,0.6413427703962075,0.5318453099159711,0.0,24.314669217346786,5.581339662993658
"[4.50, 4.80)",4.65,4.601988348139134,7,2,5,4,0,2,0.7466837673856253,0.7104999315815888,0.6385450080402042,38.41736665694774,8.34799303055216
"[4.80, 5.10)",4.949999999999999,4.945272582100969,13,2,14,5,1,0,0.5816250025074665,0.6129708043164197,0.7062497055499705,85.30979974644653,17.250778057253857
"[5.10, 5.40)",5.25,5.259591996085597,17,1,12,3,0,0,0.6961842342017203,0.6650219068731741,0.0,126.11070481536562,23.97727901883309
"[5.40, 5.70)",5.550000000000001,5.538585924760801,7,0,4,0,0,0,0.6952315786285469,0.6527324314513964,0.0,59.19430050052151,10.687619783217135
"[5.70, 6.00)",5.85,5.846174595382188,4,0,10,0,0,0,0.6027568181015225,0.6666915644813277,0.0,34.45993403497092,5.894441480107409
"[6.00, 6.30)",6.15,6.170704956335411,4,0,6,1,0,0,0.6818352950322583,0.715729307386713,0.0,34.19894851837056,5.542146117885411
"[6.30, 6.60)",6.449999999999999,6.461696870570934,4,0,1,0,0,0,0.606967462488321,0.6263188541554013,0.0,41.20018632734754,6.376062999022612
"[6.60, 6.90)",6.75,6.802842290397123,1,1,2,0,0,0,0.7012550990153934,0.0,0.0,-0.12318474289433737,-0.01810783458382163
"[6.90, 7.50)",7.2,7.038813701974174,1,0,0,0,0,0,0.0,0.6033709809378952,0.0,11.665814108316683,1.65735514566109
"[7.50, 8.70)",8.1,8.264106677005381,1,0,0,0,0,0,0.0,0.750084830126196,0.0,11.017562741023584,1.3331825412757083
