Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.351511630066071,46,2,43,3,1,0,0.6717951801193871,0.611585124265866,0.7188110204453603,295.86036261584877,67.99024977243519
"[4.50, 4.80)",4.65,4.643565042323677,36,1,31,0,1,0,0.6776086841729033,0.6428605526567124,0.8337930264945609,237.3694144423883,51.1179260501123
"[4.80, 5.10)",4.949999999999999,4.959076798918598,18,2,19,0,1,0,0.6942283137570036,0.64747480392428,0.723347019945361,105.39030685571089,21.252001356117905
"[5.10, 5.40)",5.25,5.257928669393454,13,0,17,0,0,0,0.7222819697690825,0.6749674312997856,0.0,99.4405510010323,18.912495253098136
"[5.40, 5.70)",5.550000000000001,5.519605700016464,7,1,7,0,0,0,0.6106991665239113,0.6707157042195103,0.0,48.441944539103,8.776341494639464
"[5.70, 6.00)",5.85,5.8966785486102085,4,0,6,0,0,0,0.5838576553225262,0.5701805484358163,0.0,40.471926439181836,6.863512417294764
"[6.00, 6.30)",6.15,6.249397775251867,2,0,4,0,0,0,0.665187148665628,0.7518034741501793,0.0,16.069935886466993,2.5714375151643045
"[6.30, 6.60)",6.449999999999999,6.399508484751887,3,0,1,0,0,0,0.6096807661023251,0.6549139030760277,0.0,29.159519683932174,4.556524888342688
"[6.60, 6.90)",6.75,6.859010234145723,1,0,3,0,0,0,0.6644040415093588,0.6436061605232902,0.0,10.199640163439494,1.4870425637599067
"[6.90, 7.50)",7.2,6.96958436190234,0,0,1,0,0,0,0.7290305412908586,0.0,0.0,-0.1412262222574443,-0.02026322014687498
"[7.50, 8.70)",8.1,7.809267773672424,2,0,0,0,0,0,0.0,0.618950151653918,0.0,25.23391505052551,3.2312779868552117
