pT Bin [GeV],Ratio,Stat Err,Sys Err,Total Err
"[0.00, 0.32)",1.1207,0.2061,0.0403,0.2100
"[0.32, 0.49)",1.0643,0.1452,0.0358,0.1495
"[0.49, 0.63)",1.4618,0.2799,0.0509,0.2845
"[0.63, 0.77)",1.4537,0.5938,0.0555,0.5963
"[0.77, 0.95)",0.9791,0.1393,0.0319,0.1429
"[0.95, 1.18)",1.1795,0.4795,0.0460,0.4817
"[1.18, 1.80)",0.7815,0.3104,0.0313,0.3120
