pT Bin,pT Center,LH2 Mass Centroid,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[0.00, 0.32)",0.16,5.048700606964599,840,28,18,1,0.6746455708722041,0.6694698546344429,0.6781220325266278,5467.469044298426,1082.9457854474758
"[0.32, 0.49)",0.405,5.018932566459417,1008,40,28,3,0.6768921842914383,0.6633258213127019,0.6916975873405592,6304.3928703874135,1256.1222504798104
"[0.49, 0.63)",0.56,5.004307413146852,822,43,28,3,0.6754343735992613,0.652237149282316,0.6716785810198697,4875.219292436432,974.2045981485287
"[0.63, 0.77)",0.7,5.0508627231865155,899,48,31,6,0.668753178649647,0.6612144243014336,0.7096179485140786,5570.934797706343,1102.9669787168004
"[0.77, 0.95)",0.86,5.061299229724926,891,85,26,3,0.6677766945285944,0.6566569115143506,0.6555459197132312,5254.325189455081,1038.1376304717407
"[0.95, 1.18)",1.065,5.097734494827977,852,69,33,7,0.6666448450580775,0.6504125888671733,0.7129550110111988,5092.797018570208,999.0314371486436
"[1.18, 1.80)",1.49,5.175321437562054,892,156,52,12,0.6368571369917239,0.6299033908313252,0.6072310032767243,4340.300292304872,838.6532787709245
