pT Bin [GeV],Ratio,Stat Err,Sys Err,Total Err
"[0.00, 0.32)",1.1329,0.0392,0.0394,0.0556
"[0.32, 0.49)",1.1487,0.0391,0.0378,0.0544
"[0.49, 0.63)",1.1694,0.0449,0.0397,0.0599
"[0.63, 0.77)",1.1130,0.0420,0.0369,0.0559
"[0.77, 0.95)",1.2191,0.0477,0.0387,0.0615
"[0.95, 1.18)",1.0981,0.0479,0.0352,0.0595
"[1.18, 1.80)",1.1736,0.0679,0.0375,0.0776
