pT Bin [GeV],Ratio,Stat Err,Sys Err,Total Err
"[0.00, 0.32)",1.1736,0.1432,0.0409,0.1490
"[0.32, 0.49)",1.1210,0.1117,0.0368,0.1176
"[0.49, 0.63)",1.3535,0.1676,0.0460,0.1738
"[0.63, 0.77)",1.1337,0.1286,0.0374,0.1339
"[0.77, 0.95)",1.0440,0.0945,0.0322,0.0998
"[0.95, 1.18)",0.9933,0.1161,0.0314,0.1202
"[1.18, 1.80)",0.8852,0.1349,0.0271,0.1376
