pT Bin [GeV],Ratio,Stat Err,Sys Err,Total Err
"[0.00, 0.32)",1.1199,0.1230,0.0405,0.1295
"[0.32, 0.49)",1.1561,0.1008,0.0390,0.1081
"[0.49, 0.63)",1.0561,0.0992,0.0364,0.1057
"[0.63, 0.77)",1.1635,0.1629,0.0404,0.1679
"[0.77, 0.95)",1.1029,0.1222,0.0366,0.1276
"[0.95, 1.18)",1.1555,0.1908,0.0408,0.1951
"[1.18, 1.80)",1.1601,0.2722,0.0402,0.2752
