pT Bin,pT Center,LH2 Mass Centroid,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[0.00, 0.32)",0.16,5.003529643189981,2771,79,75,2,0.6992003273724983,0.6820036513274537,0.7042301367773511,16982.078546323817,3394.0197735087186
"[0.32, 0.49)",0.405,4.976568767216824,2956,89,92,9,0.6994569883819698,0.6846835114388921,0.7504543334635374,17976.680133792375,3612.263986426524
"[0.49, 0.63)",0.56,5.011430431650727,2807,138,104,9,0.6975490118146974,0.6807689503170253,0.7085588184988408,16218.66774319805,3236.3350074193772
"[0.63, 0.77)",0.7,5.0064420516121215,2686,152,85,13,0.6944209913665242,0.6797784246924904,0.7213107873825474,16070.131188978488,3209.890581636465
"[0.77, 0.95)",0.86,5.054068495987608,2991,235,113,14,0.6935996294883808,0.6757675704023808,0.6928276819544127,16904.632046655624,3344.757210963029
"[0.95, 1.18)",1.065,5.110515553395412,2763,319,93,19,0.6873913888881276,0.670609481690114,0.6377785128299783,15561.303922517123,3044.957746421149
"[1.18, 1.80)",1.49,5.140860079325418,2871,538,167,39,0.6744533760663959,0.6635757723872399,0.6653980941472236,13431.534785539381,2612.701878340533
