pT Bin,pT Center,LH2 Mass Centroid,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[0.00, 0.32)",0.16,5.054060715083723,101,7,2,1,0.6949381912519694,0.6989302075389398,1.3466936176877353,648.8416889741324,128.38027193414592
"[0.32, 0.49)",0.405,4.868416841600413,124,9,2,2,0.668200573385825,0.6787831680669857,0.0,837.8740741678095,172.10401274767835
"[0.49, 0.63)",0.56,5.143426781614653,104,11,1,0,0.7107279865890779,0.6592991370571025,0.7701948960468574,611.1202696077748,118.81578090938208
"[0.63, 0.77)",0.7,5.0184616195222125,106,6,5,1,0.6646127866675404,0.6877934519630163,0.6876601717547891,484.4889559124762,96.54132932446386
"[0.77, 0.95)",0.86,4.707683760903291,127,9,1,2,0.6857654951126056,0.6641988567863609,0.21026011848570836,1017.607862019648,216.1589252172694
"[0.95, 1.18)",1.065,4.938249081869371,107,16,4,0,0.6684598828705164,0.6734054328048853,0.7180686535483302,417.257744536603,84.49507864407892
"[1.18, 1.80)",1.49,5.250530612394424,134,27,4,0,0.6439156390510142,0.6651289525937673,0.6553198002207162,575.3926523878424,109.58752455029367
