pT Bin,pT Center,LD2 Mass Centroid,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[0.00, 0.32)",0.16,5.020688957695694,497,14,431,11,8,0,0.6848978434248599,0.674558008951118,0.6993547522993334,3297.1259751448883,656.7078747411878
"[0.32, 0.49)",0.405,4.924556241874741,569,22,468,20,4,0,0.6840146771713672,0.6682789966739648,0.63956191078101,3847.3948013862146,781.2673086502391
"[0.49, 0.63)",0.56,4.938946343902487,550,22,497,26,7,0,0.6668284661519941,0.6725796066788313,0.7166315860812406,3613.485131413003,731.6307730036652
"[0.63, 0.77)",0.7,5.018849973706733,526,32,446,35,10,5,0.699103727196945,0.6751834307144627,0.6243803706505681,3451.64443642129,687.7361257069088
"[0.77, 0.95)",0.86,4.944751705645399,563,37,509,37,7,0,0.6831759770880876,0.669893431730339,0.561848547143502,3561.4489217114105,720.2482821625445
"[0.95, 1.18)",1.065,4.996756583285842,527,66,495,69,16,1,0.6740174663826636,0.6645808264207664,0.6947110792961811,2946.2605415935004,589.6345944584825
"[1.18, 1.80)",1.49,5.176880198989802,522,102,508,106,19,6,0.6510969239699231,0.6438483886078425,0.5720675982250545,2813.91294272779,543.553807421869
