pT Bin [GeV],Ratio,Stat Err,Sys Err,Total Err
"[0.00, 0.32)",1.0804,0.0679,0.0380,0.0778
"[0.32, 0.49)",1.0962,0.0676,0.0364,0.0767
"[0.49, 0.63)",1.3767,0.0991,0.0471,0.1097
"[0.63, 0.77)",0.9654,0.0686,0.0324,0.0759
"[0.77, 0.95)",1.2091,0.0866,0.0388,0.0949
"[0.95, 1.18)",1.0866,0.0841,0.0354,0.0912
"[1.18, 1.80)",1.1309,0.1284,0.0368,0.1335
